	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	25	26	25	25	25	25	25	25	25	23	23	23	26
Obs	22	21	22	22	22	22	22	22	22	24	24	24	21
Mean	8.053	8.369	10.912	22.129	14.380	11.443	10.746	10.165	10.048	9.188	10.478	9.808	11.152
MK_trend_005	0	1	0	0	0	0	1	0	0	0	0	0	1
MK_trend_01	0	1	0	-1	0	0	1	1	0	0	0	0	1
THEIL_S	0.149	0.250	0.182	-0.361	0.002	0.077	0.299	0.226	0.167	0.216	0.184	0.047	0.152
Change	1.20	4.35	3.46	-7.95	0.05	1.69	6.58	4.97	3.67	5.19	4.40	-0.83	2.73
Change_proc	15.0	52.0	31.7	-35.9	0.382	14.7	61.2	48.9	36.5	56.5	42.0	-8.5	24.5
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	31	31	31	31	31	31	31	31	31	32	32	32	32
Obs	16	16	16	16	16	16	16	16	16	15	15	15	15
Mean	16.349	13.612	17.394	32.651	19.518	15.726	14.405	15.470	18.577	19.603	17.649	18.352	17.709
MK_trend_005	0	1	0	1	1	0	0	0	1	1	1	1	1
MK_trend_01	1	1	0	1	1	1	1	1	1	1	1	1	1
THEIL_S	0.731	0.557	0.401	1.584	1.023	0.648	0.405	0.507	0.909	0.859	1.097	0.992	0.672
Change	11.69	12.00	6.42	30.96	20.12	11.99	6.48	8.11	18.46	14.98	16.93	14.87	10.95
Change_proc	71.5	88.2	36.9	94.8	1.03e+02	76.2	45.0	52.4	99.4	76.4	95.9	81.1	61.8
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	4	4	3	4	4	4	3	3	3	3	4	4	6
Obs	43	43	44	43	43	43	44	44	44	44	43	43	41
Mean	6.519	5.023	7.068	25.264	10.258	4.876	4.086	5.218	6.094	7.413	10.808	7.944	8.280
MK_trend_005	1	1	1	0	0	0	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	0	0	0	0	0	0	1
