	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	1	4	1	0	0	0	0	0	0	1	0	0	4
Obs	46	43	46	47	47	47	47	47	47	46	47	47	43
Mean	10.240	10.641	11.962	32.794	14.059	7.536	5.467	5.602	6.433	8.765	12.260	11.333	11.577
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.089	0.046	0.093	-0.044	0.001	0.007	0.004	-0.003	-0.001	-0.013	-0.003	0.079	0.030
Change	4.09	0.56	2.29	-4.15	0.08	0.35	0.19	-0.14	-0.16	-0.68	-0.14	3.71	0.98
Change_proc	40.0	5.28	19.2	-12.7	0.572	4.61	3.44	-2.58	-2.55	-7.79	-1.13	32.7	8.48
