	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	25	26	25	25	25	25	25	25	25	23	23	23	26
Obs	22	21	22	22	22	22	22	22	22	24	24	24	21
Mean	8.053	8.369	10.912	22.129	14.380	11.443	10.746	10.165	10.048	9.188	10.478	9.808	11.152
MK_trend_005	0	1	0	0	0	0	1	0	0	0	0	0	1
MK_trend_01	0	1	0	-1	0	0	1	1	0	0	0	0	1
THEIL_S	0.149	0.250	0.182	-0.361	0.002	0.077	0.299	0.226	0.167	0.216	0.184	0.047	0.152
Change	1.20	4.35	3.46	-7.95	0.05	1.69	6.58	4.97	3.67	5.19	4.40	-0.83	2.73
Change_proc	15.0	52.0	31.7	-35.9	0.382	14.7	61.2	48.9	36.5	56.5	42.0	-8.5	24.5
