	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	4	4	3	4	4	4	3	3	3	3	4	4	6
Obs	43	43	44	43	43	43	44	44	44	44	43	43	41
Mean	6.519	5.023	7.068	25.264	10.258	4.876	4.086	5.218	6.094	7.413	10.808	7.944	8.280
MK_trend_005	1	1	1	0	0	0	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	0	0	0	0	0	0	1
THEIL_S	0.118	0.094	0.112	0.122	0.005	0.043	0.020	0.020	0.014	-0.020	0.043	0.072	0.078
Change	5.06	3.78	4.27	4.86	0.20	1.86	0.86	0.86	0.92	-0.86	1.86	3.10	2.90
Change_proc	77.7	75.3	60.5	19.2	1.92	38.2	21.0	16.5	15.1	-11.6	17.2	39.0	35.0
