	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	19	19	19	19	19	19	19	19	20	20	20	20	20
Obs	28	28	28	28	28	28	28	28	27	27	27	27	27
Mean	13.861	15.865	19.394	85.496	33.849	12.372	8.429	12.293	14.621	21.050	26.796	18.306	23.429
MK_trend_005	0	1	1	0	0	0	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	0	0	0	0	0	0	0	1
THEIL_S	0.344	0.229	0.734	0.036	0.402	0.155	0.009	0.027	0.119	0.490	-0.293	0.159	0.367
Change	9.48	6.59	18.98	1.00	11.25	4.34	0.26	0.74	3.17	13.26	-7.91	4.29	8.51
Change_proc	68.4	41.5	97.9	1.16	33.2	35.1	3.13	6.04	21.7	63.0	-29.5	23.4	36.3
