	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	8	11	10	5	5	4	4	4	5	6	6	7	14
Obs	39	36	37	42	42	43	43	43	42	41	41	40	33
Mean	17.785	17.064	17.284	36.918	46.144	37.294	26.114	17.737	14.586	13.452	15.680	16.706	24.621
MK_trend_005	1	1	1	1	1	1	1	1	1	1	1	1	1
MK_trend_01	1	1	1	1	1	1	1	1	1	1	1	1	1
THEIL_S	0.789	0.921	0.791	0.844	0.527	0.602	0.624	0.449	0.363	0.410	0.547	0.544	0.763
Change	30.76	33.16	29.27	35.47	22.13	25.90	26.86	20.17	18.35	21.68	24.63	21.12	25.50
Change_proc	1.73e+02	1.94e+02	1.69e+02	96.1	48.0	69.4	1.03e+02	1.14e+02	1.26e+02	1.61e+02	1.57e+02	1.26e+02	1.04e+02
