	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	1	1	3	2	3	2	2	1	1	2	1	1	3
Obs	46	46	44	45	44	45	45	46	46	45	46	46	44
Mean	18.954	18.157	19.980	39.521	33.341	29.017	25.352	22.544	19.882	19.559	21.083	20.381	24.030
MK_trend_005	1	1	1	1	1	1	1	1	1	1	1	1	1
MK_trend_01	1	1	1	1	1	1	1	1	1	1	1	1	1
THEIL_S	0.218	0.275	0.325	0.313	0.247	0.446	0.536	0.488	0.377	0.255	0.269	0.250	0.370
Change	10.05	12.65	14.31	14.10	10.86	20.01	25.29	23.56	17.33	11.47	12.40	11.07	16.38
Change_proc	53.0	69.7	71.6	35.7	32.6	69.0	99.8	1.04e+02	87.2	58.6	58.8	54.3	68.2
