	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	2	2	2	2	2	2	2	2	2	3	2	2	3
Obs	45	45	45	45	45	45	45	45	45	44	45	45	44
Mean	7.269	6.836	7.484	22.123	10.662	7.923	8.072	7.772	6.883	6.842	8.677	7.733	9.077
MK_trend_005	0	1	1	0	0	0	1	1	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	1	1	0	0	0	0	1
THEIL_S	0.069	0.049	0.078	0.036	-0.056	0.055	0.093	0.073	0.053	0.004	0.001	0.009	0.080
Change	3.12	2.21	2.60	3.49	-2.52	2.46	4.19	3.27	1.97	-0.14	0.05	0.41	3.69
Change_proc	42.9	32.4	34.7	15.8	-23.6	31.1	51.9	42.1	28.6	-2.09	0.519	5.3	40.7
