	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	1	1	1	1	1	1	1	1	2	1	1	1	2
Obs	46	46	46	46	46	46	46	46	45	46	46	46	45
Mean	6.951	6.157	7.828	30.014	11.736	4.725	4.306	4.441	5.135	6.015	9.718	8.234	8.827
MK_trend_005	1	1	1	0	0	1	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	0	0	0	0	0	0	1
THEIL_S	0.078	0.090	0.090	-0.034	-0.025	0.057	0.020	0.018	0.027	0.007	0.005	0.072	0.078
Change	3.59	4.14	3.14	-1.51	-0.82	2.61	0.91	0.83	1.09	0.32	0.24	3.31	3.13
Change_proc	51.7	67.2	40.1	-5.02	-6.97	55.2	21.1	18.7	21.2	5.4	2.48	40.2	35.5
