	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	2	2	1	1	1	1	1	1	1	1	1	1	3
Obs	45	45	46	46	46	46	46	46	46	46	46	46	44
Mean	11.066	9.149	11.431	31.178	13.959	7.933	6.432	7.449	8.512	11.224	15.071	13.123	12.249
MK_trend_005	0	1	1	0	0	0	0	0	0	0	0	0	0
MK_trend_01	1	1	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.113	0.102	0.145	-0.024	-0.007	0.003	0.011	0.004	-0.019	-0.037	-0.024	0.012	0.014
Change	5.08	4.61	4.13	-2.37	-0.31	0.16	0.52	0.17	-0.88	-1.70	-1.10	0.57	0.60
Change_proc	45.9	50.4	36.2	-7.6	-2.2	2.02	8.14	2.26	-10.4	-15.2	-7.33	4.33	4.86
