	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	31	31	31	31	31	31	31	31	31	32	32	32	32
Obs	16	16	16	16	16	16	16	16	16	15	15	15	15
Mean	16.349	13.612	17.394	32.651	19.518	15.726	14.405	15.470	18.577	19.603	17.649	18.352	17.709
MK_trend_005	0	1	0	1	1	0	0	0	1	1	1	1	1
MK_trend_01	1	1	0	1	1	1	1	1	1	1	1	1	1
THEIL_S	0.731	0.557	0.401	1.584	1.023	0.648	0.405	0.507	0.909	0.859	1.097	0.992	0.672
Change	11.69	12.00	6.42	30.96	20.12	11.99	6.48	8.11	18.46	14.98	16.93	14.87	10.95
Change_proc	71.5	88.2	36.9	94.8	1.03e+02	76.2	45.0	52.4	99.4	76.4	95.9	81.1	61.8
