	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	3	3	3	3	3	3	3	3	4	3	3	3	4
Obs	44	44	44	44	44	44	44	44	43	44	44	44	43
Mean	4.220	3.599	4.302	11.072	7.267	3.961	2.604	2.431	2.697	3.402	4.611	4.380	4.587
MK_trend_005	0	0	1	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.016	0.028	0.042	0.006	0.014	0.004	0.002	-0.005	-0.012	-0.027	-0.025	0.020	0.008
Change	0.69	1.24	1.51	-1.65	0.49	0.19	0.08	-0.22	-0.51	-1.21	-1.08	0.87	0.20
Change_proc	16.4	34.4	35.0	-14.9	6.71	4.76	3.09	-9.16	-18.8	-35.4	-23.4	19.9	4.4
