	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	10	10	10	10	10	10	10	10	10	10	10	11	11
Obs	37	37	37	37	37	37	37	37	37	37	37	36	36
Mean	5.535	5.208	7.606	31.772	10.864	4.475	3.474	4.025	4.304	5.681	8.884	6.339	8.333
MK_trend_005	1	1	1	0	0	0	0	0	0	0	0	0	0
MK_trend_01	1	1	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.079	0.079	0.178	-0.091	-0.008	0.048	0.007	0.002	0.002	0.005	0.020	-0.004	0.036
Change	2.93	3.02	6.59	-3.35	-0.30	2.65	0.24	0.06	-0.24	-0.69	0.73	-0.04	0.51
Change_proc	53.0	57.9	86.7	-10.6	-2.79	59.3	6.97	1.43	-5.68	-12.1	8.25	-0.588	6.09
