	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	42.132	32.034	36.216	35.314	48.548	76.273	80.893	83.436	65.161	62.132	59.400	54.500	676.039
MK_trend_005	0	0	0	-1	0	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	-1	0	0	0	0	0	0	0	0	0
THEIL_S	0.455	0.155	-0.051	-0.452	0.435	0.430	-0.449	0.033	-0.610	-0.345	-0.118	0.307	0.494
Change	20.02	6.81	-2.23	-19.89	19.13	18.91	-19.77	1.45	-26.82	-15.16	-5.18	13.53	21.74
Change_proc	47.5	21.2	-6.15	-56.3	39.4	24.8	-24.4	1.73	-41.2	-24.4	-8.72	24.8	3.22
