	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00
N_obs	23	23	23	23	23	23	23	23	23	23	23	23	23
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	23	23	23	23	23	23	23	23	23	23	23	23	23
Mean	31.104	24.578	28.461	30.943	32.326	43.743	55.039	79.548	70.004	62.157	54.887	44.265	557.057
MK_trend_005	1	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	0	0	0	0	0	0	0	-1	0
THEIL_S	1.225	0.175	-0.024	-1.029	-0.547	-0.020	-0.173	0.800	-0.621	-0.295	-0.959	-1.206	-2.855
Change	33.13	4.03	-0.54	-23.68	-12.58	-0.46	-4.78	18.40	-14.29	-6.79	-22.05	-27.73	-65.65
Change_proc	1.07e+02	16.4	-1.9	-76.5	-38.9	-1.05	-8.68	23.1	-20.4	-10.9	-40.2	-62.6	-11.8
