	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	43	43	43	43	43	43	43	43	43	43	43	43	43
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	43	43	43	43	43	43	43	43	43	43	43	43	43
Mean	46.998	35.805	36.302	30.430	40.400	65.728	65.453	86.481	67.067	65.656	61.379	55.681	657.381
MK_trend_005	0	0	0	-1	0	0	-1	0	0	0	0	0	-1
MK_trend_01	0	0	0	-1	0	0	-1	0	-1	0	0	0	-1
THEIL_S	0.277	0.112	-0.111	-0.550	0.288	-0.519	-1.461	-0.370	-0.927	-0.233	-0.530	-0.088	-4.137
Change	11.92	4.82	-4.78	-23.65	12.40	-24.17	-62.82	-19.63	-39.85	-16.68	-22.81	-3.80	-192.51
Change_proc	25.4	13.5	-13.2	-77.7	30.7	-36.8	-96.0	-22.7	-59.4	-25.4	-37.2	-6.83	-29.3
