	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	28	28	28	28	28	28	28	28	28	28	28	28	28
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	28	28	28	28	28	28	28	28	28	28	28	28	28
Mean	41.336	28.346	33.514	34.600	45.593	66.150	76.707	73.939	63.032	57.646	55.932	50.250	627.046
MK_trend_005	1	0	0	0	1	0	0	1	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	1	0	0	0	0	0
THEIL_S	0.948	0.285	0.319	-0.763	1.212	0.300	-0.321	1.234	-0.874	-0.813	-0.416	0.009	0.369
Change	27.50	7.98	8.93	-21.36	32.18	8.40	-12.34	37.36	-24.48	-21.23	-11.64	0.26	10.34
Change_proc	66.5	28.2	26.6	-61.7	70.6	12.7	-16.1	50.5	-38.8	-36.8	-20.8	0.522	1.65
