	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	47.748	35.243	38.928	33.765	42.891	57.330	70.559	79.874	71.650	73.937	73.152	66.335	691.413
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	0	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.250	0.192	-0.206	-0.267	0.400	0.497	0.078	-0.143	-0.604	-0.059	-0.307	-0.153	0.130
Change	11.50	8.85	-8.63	-13.80	18.40	22.85	8.78	-6.57	-27.76	-2.71	-14.14	-7.04	5.96
Change_proc	24.1	25.1	-22.2	-40.9	42.9	39.9	12.4	-8.23	-38.7	-3.67	-19.3	-10.6	0.862
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00
N_obs	23	23	23	23	23	23	23	23	23	23	23	23	23
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	23	23	23	23	23	23	23	23	23	23	23	23	23
Mean	31.104	24.578	28.461	30.943	32.326	43.743	55.039	79.548	70.004	62.157	54.887	44.265	557.057
MK_trend_005	1	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	0	0	0	0	0	0	0	-1	0
THEIL_S	1.225	0.175	-0.024	-1.029	-0.547	-0.020	-0.173	0.800	-0.621	-0.295	-0.959	-1.206	-2.855
Change	33.13	4.03	-0.54	-23.68	-12.58	-0.46	-4.78	18.40	-14.29	-6.79	-22.05	-27.73	-65.65
Change_proc	1.07e+02	16.4	-1.9	-76.5	-38.9	-1.05	-8.68	23.1	-20.4	-10.9	-40.2	-62.6	-11.8
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	42.132	32.034	36.216	35.314	48.548	76.273	80.893	83.436	65.161	62.132	59.400	54.500	676.039
MK_trend_005	0	0	0	-1	0	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	-1	0	0	0	0	0	0	0	0	0
THEIL_S	0.455	0.155	-0.051	-0.452	0.435	0.430	-0.449	0.033	-0.610	-0.345	-0.118	0.307	0.494
Change	20.02	6.81	-2.23	-19.89	19.13	18.91	-19.77	1.45	-26.82	-15.16	-5.18	13.53	21.74
Change_proc	47.5	21.2	-6.15	-56.3	39.4	24.8	-24.4	1.73	-41.2	-24.4	-8.72	24.8	3.22
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	43	43	43	43	43	43	43	43	43	43	43	43	43
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	43	43	43	43	43	43	43	43	43	43	43	43	43
Mean	46.998	35.805	36.302	30.430	40.400	65.728	65.453	86.481	67.067	65.656	61.379	55.681	657.381
MK_trend_005	0	0	0	-1	0	0	-1	0	0	0	0	0	-1
MK_trend_01	0	0	0	-1	0	0	-1	0	-1	0	0	0	-1
THEIL_S	0.277	0.112	-0.111	-0.550	0.288	-0.519	-1.461	-0.370	-0.927	-0.233	-0.530	-0.088	-4.137
Change	11.92	4.82	-4.78	-23.65	12.40	-24.17	-62.82	-19.63	-39.85	-16.68	-22.81	-3.80	-192.51
Change_proc	25.4	13.5	-13.2	-77.7	30.7	-36.8	-96.0	-22.7	-59.4	-25.4	-37.2	-6.83	-29.3
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	39.076	30.717	33.763	33.287	42.589	69.291	71.783	87.572	75.793	68.702	56.485	48.730	657.789
MK_trend_005	1	1	0	0	0	1	0	0	0	0	0	0	0
MK_trend_01	1	1	0	0	0	1	0	0	0	0	0	0	0
THEIL_S	0.627	0.400	0.288	-0.118	0.344	0.965	-0.333	0.345	-0.500	0.126	0.084	0.222	2.171
Change	28.85	18.40	10.93	-6.23	15.82	44.38	-15.33	-0.66	-23.00	5.79	3.88	10.20	99.86
Change_proc	73.8	59.9	32.4	-18.7	37.1	64.0	-21.4	-0.758	-30.3	8.42	6.87	20.9	15.2
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	28	28	28	28	28	28	28	28	28	28	28	28	28
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	28	28	28	28	28	28	28	28	28	28	28	28	28
Mean	41.336	28.346	33.514	34.600	45.593	66.150	76.707	73.939	63.032	57.646	55.932	50.250	627.046
MK_trend_005	1	0	0	0	1	0	0	1	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	1	0	0	0	0	0
THEIL_S	0.948	0.285	0.319	-0.763	1.212	0.300	-0.321	1.234	-0.874	-0.813	-0.416	0.009	0.369
Change	27.50	7.98	8.93	-21.36	32.18	8.40	-12.34	37.36	-24.48	-21.23	-11.64	0.26	10.34
Change_proc	66.5	28.2	26.6	-61.7	70.6	12.7	-16.1	50.5	-38.8	-36.8	-20.8	0.522	1.65
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	29	29	29	29	29	29	29	29	29	29	29	29	29
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	29	29	29	29	29	29	29	29	29	29	29	29	29
Mean	42.314	31.534	35.400	35.483	38.769	63.379	73.697	78.886	71.617	64.679	61.407	52.541	649.707
MK_trend_005	1	0	0	0	1	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	0	0	0	0	0	1
THEIL_S	1.349	0.533	0.192	-0.618	1.092	0.197	-0.978	0.692	0.159	-0.240	-0.383	0.038	3.013
Change	39.44	15.44	5.58	-17.92	31.66	5.70	-19.49	20.08	4.61	-6.95	-11.11	1.11	87.39
Change_proc	93.2	49.0	15.8	-50.5	81.7	9.0	-26.4	25.5	6.44	-10.7	-18.1	2.11	13.5
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	42.072	32.298	34.291	32.248	42.841	65.496	79.417	80.000	64.215	63.970	58.791	52.735	648.374
MK_trend_005	0	0	0	0	1	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	0	0	0	0	0	0
THEIL_S	0.305	0.176	-0.050	-0.184	0.591	0.229	-0.020	0.193	-0.441	-0.133	-0.072	0.334	1.074
Change	14.03	8.12	-2.30	-8.46	27.18	10.51	-0.92	8.87	-20.28	-6.13	-3.32	15.37	49.41
Change_proc	33.3	25.1	-6.71	-26.2	63.4	16.1	-1.16	11.1	-31.6	-9.59	-5.65	29.1	7.62
