	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	39.076	30.717	33.763	33.287	42.589	69.291	71.783	87.572	75.793	68.702	56.485	48.730	657.789
MK_trend_005	1	1	0	0	0	1	0	0	0	0	0	0	0
MK_trend_01	1	1	0	0	0	1	0	0	0	0	0	0	0
THEIL_S	0.627	0.400	0.288	-0.118	0.344	0.965	-0.333	0.345	-0.500	0.126	0.084	0.222	2.171
Change	28.85	18.40	10.93	-6.23	15.82	44.38	-15.33	-0.66	-23.00	5.79	3.88	10.20	99.86
Change_proc	73.8	59.9	32.4	-18.7	37.1	64.0	-21.4	-0.758	-30.3	8.42	6.87	20.9	15.2
