	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	29	29	29	29	29	29	29	29	29	29	29	29	29
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	29	29	29	29	29	29	29	29	29	29	29	29	29
Mean	42.314	31.534	35.400	35.483	38.769	63.379	73.697	78.886	71.617	64.679	61.407	52.541	649.707
MK_trend_005	1	0	0	0	1	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	0	0	0	0	0	1
THEIL_S	1.349	0.533	0.192	-0.618	1.092	0.197	-0.978	0.692	0.159	-0.240	-0.383	0.038	3.013
Change	39.44	15.44	5.58	-17.92	31.66	5.70	-19.49	20.08	4.61	-6.95	-11.11	1.11	87.39
Change_proc	93.2	49.0	15.8	-50.5	81.7	9.0	-26.4	25.5	6.44	-10.7	-18.1	2.11	13.5
