	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	42.072	32.298	34.291	32.248	42.841	65.496	79.417	80.000	64.215	63.970	58.791	52.735	648.374
MK_trend_005	0	0	0	0	1	0	0	0	0	0	0	0	0
MK_trend_01	1	0	0	0	1	0	0	0	0	0	0	0	0
THEIL_S	0.305	0.176	-0.050	-0.184	0.591	0.229	-0.020	0.193	-0.441	-0.133	-0.072	0.334	1.074
Change	14.03	8.12	-2.30	-8.46	27.18	10.51	-0.92	8.87	-20.28	-6.13	-3.32	15.37	49.41
Change_proc	33.3	25.1	-6.71	-26.2	63.4	16.1	-1.16	11.1	-31.6	-9.59	-5.65	29.1	7.62
