	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	47.748	35.243	38.928	33.765	42.891	57.330	70.559	79.874	71.650	73.937	73.152	66.335	691.413
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	0	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.250	0.192	-0.206	-0.267	0.400	0.497	0.078	-0.143	-0.604	-0.059	-0.307	-0.153	0.130
Change	11.50	8.85	-8.63	-13.80	18.40	22.85	8.78	-6.57	-27.76	-2.71	-14.14	-7.04	5.96
Change_proc	24.1	25.1	-22.2	-40.9	42.9	39.9	12.4	-8.23	-38.7	-3.67	-19.3	-10.6	0.862
