	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	-7.276	-7.447	-2.655	4.020	10.602	14.737	17.254	15.156	10.146	4.520	-0.942	-4.794	4.444
MK_trend_005	0	0	0	1	0	0	0	1	1	0	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	0	0	0	1
THEIL_S	0.062	0.047	0.028	0.050	0.022	-0.001	0.035	0.036	0.053	0.034	0.042	0.080	0.040
Change	2.74	0.70	1.24	2.30	0.97	-0.04	1.54	1.58	2.31	1.51	1.85	3.53	1.52
Change_proc	37.7	9.37	46.9	57.1	9.17	-0.288	8.9	10.4	22.8	33.4	1.97e+02	73.7	34.2
