	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00
N_obs	23	23	23	23	23	23	23	23	23	23	23	23	23
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	23	23	23	23	23	23	23	23	23	23	23	23	23
Mean	-4.605	-5.694	-2.152	2.113	8.498	13.910	16.876	15.978	11.387	6.576	1.799	-1.534	5.262
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	0	0	1	0	0	0	0	0	0	0	0
THEIL_S	0.111	0.242	0.123	0.041	0.083	-0.034	0.000	-0.027	0.005	0.040	-0.056	-0.030	0.044
Change	2.56	3.83	3.09	0.78	1.91	-0.79	0.00	-0.61	0.12	0.92	-1.29	-0.69	0.77
Change_proc	55.6	67.2	1.44e+02	36.7	22.4	-5.68	0.0	-3.84	1.07	14.0	-71.4	-45.0	14.6
