	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	-5.975	-6.286	-1.507	4.811	11.128	15.284	17.747	15.835	10.786	5.380	0.249	-3.753	5.308
MK_trend_005	0	0	0	1	0	0	1	1	1	0	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	0	1	1	1
THEIL_S	0.058	0.051	0.021	0.043	0.026	0.009	0.055	0.054	0.061	0.034	0.043	0.088	0.048
Change	2.57	2.10	0.92	2.01	1.14	0.40	2.50	2.45	2.69	1.51	1.89	3.87	1.97
Change_proc	43.0	33.4	61.2	41.8	10.2	2.63	14.1	15.5	25.0	28.1	7.57e+02	1.03e+02	37.1
