	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	26	26	26	26	26	26	26	26	26	26	26	26	26
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	26	26	26	26	26	26	26	26	26	26	26	26	26
Mean	-7.890	-7.182	-2.041	4.167	11.148	14.971	17.039	15.188	9.984	4.318	-0.985	-5.062	4.470
MK_trend_005	0	0	0	0	0	0	0	1	0	0	0	0	1
MK_trend_01	1	1	0	0	0	0	0	1	0	0	0	1	1
THEIL_S	0.236	0.313	0.081	0.076	0.065	0.023	0.022	0.081	0.086	0.014	-0.019	0.166	0.095
Change	6.14	8.17	2.11	1.98	1.96	0.61	0.56	2.11	2.23	0.36	-0.50	4.64	2.21
Change_proc	77.8	1.14e+02	1.03e+02	47.5	17.6	4.05	3.31	13.9	22.3	8.43	-50.8	91.7	49.4
