	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	-7.186	-7.568	-3.024	2.786	10.197	15.220	18.191	16.241	10.888	5.159	-0.032	-4.242	4.719
MK_trend_005	0	0	0	1	0	0	0	1	1	1	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	1	1	0	1
THEIL_S	0.051	0.079	0.025	0.040	0.023	-0.004	0.039	0.046	0.064	0.041	0.047	0.070	0.046
Change	2.33	3.12	1.17	1.72	1.04	-0.17	1.81	2.19	2.95	1.87	2.17	3.22	2.13
Change_proc	32.4	41.2	38.6	61.7	10.1	-1.13	9.97	13.5	27.1	36.2	6.75e+03	75.9	45.2
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00	1993-12-31 00:00:00
N_obs	23	23	23	23	23	23	23	23	23	23	23	23	23
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	23	23	23	23	23	23	23	23	23	23	23	23	23
Mean	-4.605	-5.694	-2.152	2.113	8.498	13.910	16.876	15.978	11.387	6.576	1.799	-1.534	5.262
MK_trend_005	0	0	0	0	0	0	0	0	0	0	0	0	0
MK_trend_01	0	0	0	0	1	0	0	0	0	0	0	0	0
THEIL_S	0.111	0.242	0.123	0.041	0.083	-0.034	0.000	-0.027	0.005	0.040	-0.056	-0.030	0.044
Change	2.56	3.83	3.09	0.78	1.91	-0.79	0.00	-0.61	0.12	0.92	-1.29	-0.69	0.77
Change_proc	55.6	67.2	1.44e+02	36.7	22.4	-5.68	0.0	-3.84	1.07	14.0	-71.4	-45.0	14.6
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	-7.276	-7.447	-2.655	4.020	10.602	14.737	17.254	15.156	10.146	4.520	-0.942	-4.794	4.444
MK_trend_005	0	0	0	1	0	0	0	1	1	0	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	0	0	0	1
THEIL_S	0.062	0.047	0.028	0.050	0.022	-0.001	0.035	0.036	0.053	0.034	0.042	0.080	0.040
Change	2.74	0.70	1.24	2.30	0.97	-0.04	1.54	1.58	2.31	1.51	1.85	3.53	1.52
Change_proc	37.7	9.37	46.9	57.1	9.17	-0.288	8.9	10.4	22.8	33.4	1.97e+02	73.7	34.2
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	44	44	44	44	44	44	44	44	44	44	44	44	44
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	44	44	44	44	44	44	44	44	44	44	44	44	44
Mean	-5.975	-6.286	-1.507	4.811	11.128	15.284	17.747	15.835	10.786	5.380	0.249	-3.753	5.308
MK_trend_005	0	0	0	1	0	0	1	1	1	0	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	0	1	1	1
THEIL_S	0.058	0.051	0.021	0.043	0.026	0.009	0.055	0.054	0.061	0.034	0.043	0.088	0.048
Change	2.57	2.10	0.92	2.01	1.14	0.40	2.50	2.45	2.69	1.51	1.89	3.87	1.97
Change_proc	43.0	33.4	61.2	41.8	10.2	2.63	14.1	15.5	25.0	28.1	7.57e+02	1.03e+02	37.1
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	26	26	26	26	26	26	26	26	26	26	26	26	26
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	26	26	26	26	26	26	26	26	26	26	26	26	26
Mean	-7.890	-7.182	-2.041	4.167	11.148	14.971	17.039	15.188	9.984	4.318	-0.985	-5.062	4.470
MK_trend_005	0	0	0	0	0	0	0	1	0	0	0	0	1
MK_trend_01	1	1	0	0	0	0	0	1	0	0	0	1	1
THEIL_S	0.236	0.313	0.081	0.076	0.065	0.023	0.022	0.081	0.086	0.014	-0.019	0.166	0.095
Change	6.14	8.17	2.11	1.98	1.96	0.61	0.56	2.11	2.23	0.36	-0.50	4.64	2.21
Change_proc	77.8	1.14e+02	1.03e+02	47.5	17.6	4.05	3.31	13.9	22.3	8.43	-50.8	91.7	49.4
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	-5.923	-5.996	-1.400	4.711	11.234	15.805	18.679	16.797	11.547	5.792	0.390	-3.505	5.679
MK_trend_005	0	0	0	1	0	0	0	1	1	1	0	0	1
MK_trend_01	0	0	0	1	1	0	1	1	1	1	1	0	1
THEIL_S	0.050	0.043	0.018	0.047	0.027	0.006	0.042	0.044	0.054	0.044	0.040	0.058	0.039
Change	2.31	1.76	0.85	2.20	1.22	0.27	1.86	2.03	2.49	1.90	1.84	2.66	1.70
Change_proc	39.0	29.3	60.7	46.8	10.9	1.72	9.98	12.1	21.6	32.8	4.72e+02	75.8	29.9
