	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	-5.923	-5.996	-1.400	4.711	11.234	15.805	18.679	16.797	11.547	5.792	0.390	-3.505	5.679
MK_trend_005	0	0	0	1	0	0	0	1	1	1	0	0	1
MK_trend_01	0	0	0	1	1	0	1	1	1	1	1	0	1
THEIL_S	0.050	0.043	0.018	0.047	0.027	0.006	0.042	0.044	0.054	0.044	0.040	0.058	0.039
Change	2.31	1.76	0.85	2.20	1.22	0.27	1.86	2.03	2.49	1.90	1.84	2.66	1.70
Change_proc	39.0	29.3	60.7	46.8	10.9	1.72	9.98	12.1	21.6	32.8	4.72e+02	75.8	29.9
