	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
Start	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00	1970-12-31 00:00:00
End	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00	2015-12-31 00:00:00
N_obs	46	46	46	46	46	46	46	46	46	46	46	46	46
N_miss	0	0	0	0	0	0	0	0	0	0	0	0	0
Obs	46	46	46	46	46	46	46	46	46	46	46	46	46
Mean	-7.186	-7.568	-3.024	2.786	10.197	15.220	18.191	16.241	10.888	5.159	-0.032	-4.242	4.719
MK_trend_005	0	0	0	1	0	0	0	1	1	1	0	0	1
MK_trend_01	0	0	0	1	0	0	1	1	1	1	1	0	1
THEIL_S	0.051	0.079	0.025	0.040	0.023	-0.004	0.039	0.046	0.064	0.041	0.047	0.070	0.046
Change	2.33	3.12	1.17	1.72	1.04	-0.17	1.81	2.19	2.95	1.87	2.17	3.22	2.13
Change_proc	32.4	41.2	38.6	61.7	10.1	-1.13	9.97	13.5	27.1	36.2	6.75e+03	75.9	45.2
